sku, name
4375786,VERITI THERMAL CYCLER
A48141,VERITI THERMAL CYCLER
4376598,StepOnePlus - LAPTOP
4376357,StepOne StepOne Real-Time PCR System
4351105,"7500 Real-Time PCR System, desktop"
4351104,"7500 Real-Time PCR System, laptop"
4351107,"7500 Fast Real-Time PCR System, desktop"
4351106,"7500 Fast Real-Time PCR System, laptop"
4440462,3500 Genetic Analyzer for Resequencing & Fragment Analysis
4405673,3500 Genetic Analyzer
4405633,3500xL Genetic Analyzer
3130XLR,3130 Genetic Analyzer (factory refurbished)
A24811,SimpliAmp Thermal Cycler
4484073,ProFlex 3 x 32-well PCR System
A28574,"QuantStudio 5 Real-Time PCR System, 96-well, 0.2 mL, desktop"
A28569,"QuantStudio 5 Real-Time PCR System, 96-well, 0.2 mL, laptop"
4484177,Ion Chef Instrument
5400630,"KingFisher Flex Purification System, KingFisher with 96 Deep-well Head"
5400110,KingFisher Duo Prime Purification System
A28567,"QuantStudio 3 Real-Time PCR System, 96-well, 0.2 mL, laptop"
A38194,Ion GeneStudio S5 System
A38195,Ion GeneStudio S5 Plus System
A38196,Ion GeneStudio S5 Prime System